Model,Accuracy,Precision(macro),Recall(macro),Macro F1,Weighted F1,ROC-AUC(ovr),Params,ms/clip
cnn_t2,0.6958,0.7199,0.7109,0.7007,0.6974,0.9521,1216840.0,9.367
cnn_aug,0.7,0.6986,0.7031,0.6905,0.6894,0.9416,306344.0,2.534
cnn_t1,0.7,0.6986,0.7031,0.6905,0.6894,0.9416,306344.0,5.519
cnn_t3,0.6333,0.6214,0.6367,0.6209,0.6246,0.9297,75688.0,2.288
cnnlstm_aug,0.5292,0.5322,0.5352,0.5158,0.5184,0.8562,1054728.0,9.023
baseline_logreg,0.4542,0.4623,0.457,0.4514,0.4518,0.8509,,0.0
lstm_aug,0.425,0.4437,0.418,0.4106,0.4142,0.8148,428104.0,6.61
baseline_svm_rbf,0.4167,0.4192,0.4062,0.4022,0.4118,0.8307,,0.401
baseline_random_forest,0.4292,0.4063,0.4219,0.3927,0.4022,0.8343,,0.363
cnn_noaug,0.3333,0.547,0.3398,0.2913,0.2874,0.8463,306344.0,2.904
